name,class,age_group,climbing,tire_swing,swings_preschool_seats,swings_belt_seats,slides,see_saw,sand_box,hopscotch,playhouse,spring_toy,other,fencing,accessible,open,modified_date,created_date,parkname,parkaddress
play area,play area,junior,no,no,no,no,no,no,yes,no,no,no,no,no,no,unknown,2018-Jan-18 2:55:24 PM,,Stewart Martin Park,"2552 Market Street, Cumberland"
play area,play area,senior,no,no,yes,no,no,no,no,no,no,no,no,no,no,unknown,2018-Jan-18 2:55:24 PM,,Fallingbrook Park,"681 Deancourt Crescent, Cumberland"
play area,play area,toddler,no,no,no,no,no,no,no,no,no,yes,yes,no,no,unknown,2018-Jan-18 2:55:24 PM,,Queensway Park,"1580 Telesat Court, Gloucester"
play area,play area,junior,yes,no,yes,yes,yes,no,no,no,yes,yes,yes,no,no,unknown,2018-Jan-18 2:55:24 PM,,Racette Park,"1410 Henri Lauzon Street, Gloucester"
play area,play area,junior,yes,no,yes,yes,yes,no,no,no,yes,yes,yes,no,no,unknown,2018-Jan-18 2:55:24 PM,,Trevor Vance Park,"129 Goodman Drive, Kanata"
play area,mixed,toddler,no,no,yes,yes,no,no,no,no,unknown,unknown,yes,no,no,unknown,2022-Sep-07 3:42:25 PM,,Okanagan Park,"59 Okanagan Drive, Nepean"
play area,mixed,junior,no,yes,yes,yes,no,yes,no,no,no,yes,yes,no,no,unknown,2022-Sep-07 3:22:15 PM,,Ogilvie North Park,"1059 Ogilvie Road, Gloucester"
play structure,play structure,junior,no,no,no,no,no,yes,no,no,no,yes,yes,no,no,unknown,2022-Sep-07 10:58:18 AM,,New Orchard Park,"243 New Orchard Avenue, Ottawa"
play structure,play structure,junior,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,no,unknown,2022-Sep-07 11:25:41 AM,2022-Sep-07 11:19:17 AM,Nimiq Park,"5058 North Bluff Drive, Gloucester"
play area,play area,junior,yes,no,no,no,yes,no,no,no,yes,yes,no,no,no,unknown,2018-Jan-18 2:54:32 PM,,Southwood Park,"121 Grandpark Circle, Ottawa"
play structure,swing,junior,no,no,yes,yes,no,no,no,no,no,no,no,no,no,unknown,2022-Sep-08 9:20:01 AM,,Olmstead Park,"26 Viewmount Drive, Nepean"
play area,mixed,all,no,no,yes,yes,yes,no,no,no,no,no,yes,no,no,unknown,2021-Oct-25 4:13:57 PM,,Birdland Park,"3 Whippoorwill Drive, Gloucester"
play area,play structure,all,yes,no,no,no,yes,no,no,no,yes,no,no,no,no,unknown,2021-Oct-25 3:19:30 PM,,Billy Bishop Park,1 Bishops Mills Way
play area,mixed,junior,yes,unknown,no,no,no,no,no,no,no,yes,yes,no,yes,unknown,2021-Dec-10 2:38:35 PM,,Donoghue Memorial Park,"29 Larkspur Drive, Nepean"
